_ws.col.No.,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Src_port,_ws.col.Dst_port,_ws.col.Delta_time,_ws.col.TTL
"1","0.000000","172.20.10.2","47.100.95.105","TCP","74","48254","13531","0.000000","64"
"2","0.213395","47.100.95.105","172.20.10.2","TCP","74","13531","48254","0.213395","48"
"3","0.213475","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000080","64"
"4","0.213636","172.20.10.2","47.100.95.105","TCP","171","48254","13531","0.000161","64"
"5","0.284679","47.100.95.105","172.20.10.2","TCP","66","13531","48254","0.071043","48"
"6","0.285932","47.100.95.105","172.20.10.2","TCP","484","13531","48254","0.001253","48"
"7","0.285949","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000017","64"
"8","51.325081","47.100.95.105","172.20.10.2","TCP","444","13531","48254","51.039132","48"
"9","51.325227","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000146","64"
"10","51.327047","47.100.95.105","172.20.10.2","TCP","444","13531","48254","0.001820","48"
"11","51.327176","172.20.10.2","47.100.95.105","TCP","78","48254","13531","0.000129","64"
"12","51.327209","47.100.95.105","172.20.10.2","TCP","444","13531","48254","0.000033","48"
"13","51.327224","172.20.10.2","47.100.95.105","TCP","78","48254","13531","0.000015","64"
"14","97.171250","47.100.95.105","172.20.10.2","TCP","444","13531","48254","45.844026","48"
"15","97.171409","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000159","64"
"16","97.171900","47.100.95.105","172.20.10.2","TCP","444","13531","48254","0.000491","48"
"17","97.171966","172.20.10.2","47.100.95.105","TCP","78","48254","13531","0.000066","64"
"18","150.006697","172.20.10.2","47.100.95.105","TCP","66","48254","13531","52.834731","64"
"19","150.224887","47.100.95.105","172.20.10.2","TCP","66","13531","48254","0.218190","48"
"20","163.852145","47.100.95.105","172.20.10.2","TCP","444","13531","48254","13.627258","48"
"21","163.852298","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000153","64"
"22","214.006702","172.20.10.2","47.100.95.105","TCP","66","48254","13531","50.154404","64"
"23","214.226382","47.100.95.105","172.20.10.2","TCP","66","13531","48254","0.219680","48"
"24","267.766673","172.20.10.2","47.100.95.105","TCP","66","48254","13531","53.540291","64"
"25","267.868366","47.100.95.105","172.20.10.2","TCP","66","13531","48254","0.101693","48"
"26","285.346443","47.100.95.105","172.20.10.2","TCP","444","13531","48254","17.478077","48"
"27","285.346643","172.20.10.2","47.100.95.105","TCP","66","48254","13531","0.000200","64"
"28","335.606682","172.20.10.2","47.100.95.105","TCP","66","48254","13531","50.260039","64"
"29","335.831835","47.100.95.105","172.20.10.2","TCP","66","13531","48254","0.225153","48"
"30","390.646702","172.20.10.2","47.100.95.105","TCP","66","48254","13531","54.814867","64"
