_ws.col.No.,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Src_port,_ws.col.Dst_port,_ws.col.Delta_time,_ws.col.TTL
"1","0.000000","192.168.12.62","124.237.176.160","TLSv1.2","1378","41438","443","0.000000","64"
"2","0.000164","192.168.12.62","124.237.176.160","TCP","66","41438","443","0.000164","64"
"3","0.003212","180.97.104.218","192.168.12.62","TLSv1.2","99","443","44040","0.003048","40"
"4","0.004547","192.168.12.62","180.97.104.218","TCP","66","44040","443","0.001335","64"
"5","0.018776","BeijingX_7e:72:3a","Broadcast","ARP","42","","","0.014229",""
"6","0.043335","124.237.176.160","192.168.12.62","TCP","54","443","41438","0.024559","35"
"7","0.043792","124.237.176.160","192.168.12.62","TLSv1.2","60","443","41438","0.000457","35"
"8","0.043873","124.237.176.160","192.168.12.62","TCP","173","443","41438","0.000081","35"
"9","0.043912","124.237.176.160","192.168.12.62","TLSv1.2","99","443","41438","0.000039","35"
"10","0.044611","124.237.176.160","192.168.12.62","TCP","54","443","41438","0.000699","35"
"11","0.048950","192.168.12.62","124.237.176.160","TCP","66","41438","443","0.004339","64"
"12","0.049502","192.168.12.62","124.237.176.160","TCP","54","41438","443","0.000552","64"
"13","0.049886","192.168.12.62","124.237.176.160","TCP","54","41438","443","0.000384","64"
"14","0.053916","124.237.176.160","192.168.12.62","TLSv1.2","291","443","41438","0.004030","35"
"15","0.068658","192.168.12.62","124.237.176.160","TCP","54","41438","443","0.014742","64"
"16","0.091804","14.215.178.100","192.168.12.62","TLSv1.2","796","443","43416","0.023146","46"
"17","0.107672","192.168.12.62","239.255.255.250","SSDP","136","1900","1900","0.015868","1"
"18","0.116473","192.168.12.62","14.215.178.100","TLSv1.2","1031","43412","443","0.008801","64"
"19","0.120821","192.168.12.62","14.215.178.100","TLSv1.2","879","43414","443","0.004348","64"
"20","0.122821","14.215.178.100","192.168.12.62","TCP","54","443","43412","0.002000","46"
"21","0.127069","14.215.178.100","192.168.12.62","TCP","54","443","43414","0.004248","46"
"22","0.142848","192.168.12.62","124.237.176.160","TCP","1454","41438","443","0.015779","64"
"23","0.143157","192.168.12.62","124.237.176.160","TLSv1.2","271","41438","443","0.000309","64"
"24","0.143198","192.168.12.62","14.215.178.100","TCP","54","43416","443","0.000041","64"
"25","0.143304","192.168.12.62","124.237.176.160","TCP","74","41440","443","0.000106","64"
"26","0.185665","124.237.176.160","192.168.12.62","TCP","74","443","41440","0.042361","46"
"27","0.187938","124.237.176.160","192.168.12.62","TCP","54","443","41438","0.002273","35"
"28","0.187997","124.237.176.160","192.168.12.62","TCP","54","443","41438","0.000059","35"
"29","0.190495","192.168.12.62","124.237.176.160","TCP","54","41440","443","0.002498","64"
"30","0.191243","192.168.12.62","124.237.176.160","TLSv1","571","41440","443","0.000748","64"
"31","0.197485","124.237.176.160","192.168.12.62","TLSv1.2","382","443","41438","0.006242","35"
"32","0.203343","192.168.12.62","124.237.176.160","TCP","54","41438","443","0.005858","64"
"33","0.204140","192.168.12.62","124.237.176.160","TCP","1454","41438","443","0.000797","64"
"34","0.204291","192.168.12.62","124.237.176.160","TLSv1.2","319","41438","443","0.000151","64"
"35","0.208134","180.97.104.218","192.168.12.62","TCP","1454","443","44040","0.003843","40"
"36","0.208217","180.97.104.218","192.168.12.62","TLSv1.2","510","443","44040","0.000083","40"
"37","0.210478","192.168.12.62","180.97.104.218","TCP","54","44040","443","0.002261","64"
"38","0.211025","192.168.12.62","180.97.104.218","TCP","54","44040","443","0.000547","64"
"39","0.211133","192.168.12.62","153.0.227.188","TLSv1.2","97","49101","443","0.000108","64"
"40","0.218305","192.168.12.62","14.215.178.100","TCP","1454","43416","443","0.007172","64"
"41","0.219531","192.168.12.62","14.215.178.100","TLSv1.2","300","43416","443","0.001226","64"
"42","0.222951","192.168.12.62","14.215.178.100","TCP","1454","43418","443","0.003420","64"
"43","0.223522","192.168.12.62","14.215.178.100","TLSv1.2","275","43418","443","0.000571","64"
"44","0.223561","192.168.12.62","14.215.178.100","TCP","74","43426","443","0.000039","64"
"45","0.224378","14.215.178.100","192.168.12.62","TCP","54","443","43416","0.000817","46"
"46","0.225304","14.215.178.100","192.168.12.62","TCP","54","443","43416","0.000926","46"
"47","0.227952","153.0.227.188","192.168.12.62","TCP","66","443","49101","0.002648","50"
"48","0.228122","153.0.227.188","192.168.12.62","TCP","66","443","49101","0.000170","50"
"49","0.228958","14.215.178.100","192.168.12.62","TLSv1.2","248","443","43416","0.000836","46"
"50","0.228997","14.215.178.100","192.168.12.62","TLSv1.2","113","443","43416","0.000039","46"
"51","0.229030","14.215.178.100","192.168.12.62","TLSv1.2","88","443","43416","0.000033","46"
"52","0.229462","14.215.178.100","192.168.12.62","TCP","54","443","43418","0.000432","46"
"53","0.229505","14.215.178.100","192.168.12.62","TCP","74","443","43426","0.000043","49"
"54","0.229587","14.215.178.100","192.168.12.62","TCP","54","443","43418","0.000082","46"
"55","0.230793","192.168.12.62","14.215.178.100","TCP","54","43416","443","0.001206","64"
"56","0.231287","14.215.178.100","192.168.12.62","TCP","55","443","43414","0.000494","46"
"57","0.231338","14.215.178.100","192.168.12.62","TLSv1.2","88","443","43414","0.000051","46"
"58","0.231513","192.168.12.62","14.215.178.100","TCP","54","43416","443","0.000175","64"
"59","0.231683","192.168.12.62","14.215.178.100","TCP","54","43416","443","0.000170","64"
"60","0.231734","14.215.178.100","192.168.12.62","TCP","1454","443","43414","0.000051","46"
"61","0.231750","192.168.12.62","14.215.178.100","TCP","54","43426","443","0.000016","64"
"62","0.232531","192.168.12.62","14.215.178.100","TLSv1","571","43426","443","0.000781","64"
"63","0.233927","192.168.12.62","14.215.178.100","TCP","66","43414","443","0.001396","64"
"64","0.234504","124.237.176.160","192.168.12.62","TCP","54","443","41440","0.000577","35"
"65","0.234655","124.237.176.160","192.168.12.62","TLSv1.2","150","443","41440","0.000151","35"
"66","0.234695","124.237.176.160","192.168.12.62","TLSv1.2","60","443","41440","0.000040","35"
"67","0.234721","124.237.176.160","192.168.12.62","TLSv1.2","99","443","41440","0.000026","35"
"68","0.234747","14.215.178.100","192.168.12.62","TLSv1.2","248","443","43418","0.000026","46"
"69","0.234771","14.215.178.100","192.168.12.62","TLSv1.2","113","443","43418","0.000024","46"
"70","0.234796","14.215.178.100","192.168.12.62","TLSv1.2","88","443","43418","0.000025","46"
"71","0.234966","192.168.12.62","14.215.178.100","TCP","66","43414","443","0.000170","64"
"72","0.235229","192.168.12.62","14.215.178.100","TCP","54","43414","443","0.000263","64"
"73","0.239222","14.215.178.100","192.168.12.62","TLSv1.2","60","443","43426","0.003993","46"
"74","0.239290","14.215.178.100","192.168.12.62","TCP","54","443","43426","0.000068","46"
"75","0.239311","14.215.178.100","192.168.12.62","TCP","150","443","43426","0.000021","46"
"76","0.239336","14.215.178.100","192.168.12.62","TLSv1.2","99","443","43426","0.000025","46"
"77","0.241191","14.215.178.100","192.168.12.62","TCP","1454","443","43414","0.001855","46"
"78","0.243353","192.168.12.62","124.237.176.160","TCP","54","41440","443","0.002162","64"
"79","0.243479","14.215.178.100","192.168.12.62","TCP","88","443","43418","0.000126","46"
"80","0.243760","124.237.176.160","192.168.12.62","TCP","99","443","41440","0.000281","35"
"81","0.243803","192.168.12.62","124.237.176.160","TCP","54","41440","443","0.000043","64"
"82","0.243837","192.168.12.62","124.237.176.160","TCP","54","41440","443","0.000034","64"
"83","0.243869","192.168.12.62","124.237.176.160","TLSv1.2","105","41440","443","0.000032","64"
"84","0.243903","192.168.12.62","14.215.178.100","TCP","66","43426","443","0.000034","64"
"85","0.243943","192.168.12.62","14.215.178.100","TCP","54","43426","443","0.000040","64"
"86","0.244360","192.168.12.62","14.215.178.100","TCP","54","43426","443","0.000417","64"
"87","0.244551","192.168.12.62","14.215.178.100","TLSv1.2","105","43426","443","0.000191","64"
"88","0.244593","192.168.12.62","14.215.178.100","TCP","54","43418","443","0.000042","64"
"89","0.245538","192.168.12.62","14.215.178.100","TCP","1454","43426","443","0.000945","64"
"90","0.245681","192.168.12.62","14.215.178.100","TCP","66","43414","443","0.000143","64"
"91","0.245937","192.168.12.62","124.237.176.160","TCP","66","41440","443","0.000256","64"
"92","0.246039","192.168.12.62","14.215.178.100","TCP","66","43418","443","0.000102","64"
"93","0.248315","14.215.178.100","192.168.12.62","TLSv1.2","99","443","43426","0.002276","46"
"94","0.249072","124.237.176.160","192.168.12.62","TCP","54","443","41438","0.000757","35"
"95","0.249120","124.237.176.160","192.168.12.62","TCP","54","443","41438","0.000048","35"
"96","0.250302","14.215.178.100","192.168.12.62","TCP","54","443","43426","0.001182","46"
"97","0.251546","14.215.178.100","192.168.12.62","TCP","54","443","43426","0.001244","46"
"98","0.252966","192.168.12.62","14.215.178.100","TCP","66","43426","443","0.001420","64"
"99","0.255616","192.168.12.62","14.215.178.100","TLSv1.2","275","43426","443","0.002650","64"
"100","0.257069","124.237.176.160","192.168.12.62","TLSv1.2","382","443","41438","0.001453","35"
"101","0.261483","14.215.178.100","192.168.12.62","TCP","54","443","43426","0.004414","46"
"102","0.265915","14.215.178.100","192.168.12.62","TLSv1.2","88","443","43426","0.004432","46"
"103","0.265993","14.215.178.100","192.168.12.62","TCP","113","443","43426","0.000078","46"
"104","0.266015","14.215.178.100","192.168.12.62","TCP","248","443","43426","0.000022","46"
"105","0.271277","192.168.12.62","153.0.227.188","TCP","66","49101","443","0.005262","64"
"106","0.274215","192.168.12.62","14.215.178.100","TCP","66","43426","443","0.002938","64"
"107","0.274725","192.168.12.62","14.215.178.100","TCP","66","43426","443","0.000510","64"
"108","0.274831","192.168.12.62","14.215.178.100","TCP","54","43426","443","0.000106","64"
"109","0.280305","14.215.178.100","192.168.12.62","TLSv1.2","307","443","43426","0.005474","46"
"110","0.286428","124.237.176.160","192.168.12.62","TCP","54","443","41440","0.006123","35"
"111","0.322391","192.168.12.62","124.237.176.160","TCP","54","41438","443","0.035963","64"
"112","0.398100","14.215.178.100","192.168.12.62","TLSv1.2","1103","443","43412","0.075709","46"
"113","0.398168","14.215.178.100","192.168.12.62","TLSv1.2","88","443","43412","0.000068","46"
"114","0.400347","192.168.12.62","14.215.178.100","TCP","54","43412","443","0.002179","64"
"115","0.400989","192.168.12.62","14.215.178.100","TCP","54","43412","443","0.000642","64"
"116","0.415092","192.168.12.62","14.215.178.87","TCP","74","45300","443","0.014103","64"
"117","0.416255","192.168.12.62","192.168.12.1","DNS","84","64200","53","0.001163","64"
"118","0.418185","192.168.12.1","192.168.12.62","DNS","154","53","64200","0.001930","64"
"119","0.421519","14.215.178.87","192.168.12.62","TCP","74","443","45300","0.003334","49"
"120","0.423120","192.168.12.62","14.215.178.87","TCP","54","45300","443","0.001601","64"
"121","0.425960","192.168.12.62","110.242.69.63","TCP","74","44362","443","0.002840","64"
"122","0.428681","192.168.12.62","14.215.178.87","TLSv1","210","45300","443","0.002721","64"
"123","0.432629","192.168.12.62","14.215.178.100","TLSv1.2","1126","43412","443","0.003948","64"
"124","0.434826","14.215.178.87","192.168.12.62","TCP","54","443","45300","0.002197","46"
"125","0.435320","14.215.178.87","192.168.12.62","SSL","1454","443","45300","0.000494","46"
"126","0.435359","14.215.178.87","192.168.12.62","TCP","122","443","45300","0.000039","46"
"127","0.435439","14.215.178.87","192.168.12.62","TCP","1454","443","45300","0.000080","46"
